gnl|TC-DB|F8SVK1|2.A.1.6.11	gene1335	35.000	80	44	3	75	154	58	129	0.022	33.5
gnl|TC-DB|F8SVK1|2.A.1.6.11	gene1340	44.737	38	14	1	300	330	61	98	0.029	33.1
gnl|TC-DB|F8SVK1|2.A.1.6.11	gene1340	34.247	73	37	3	61	133	48	109	2.4	26.9
gnl|TC-DB|F8SVK1|2.A.1.6.11	gene1963	30.380	79	47	2	78	156	59	129	6.5	25.8
gnl|TC-DB|F8SVK1|2.A.1.6.11	gene929	34.615	52	28	2	18	63	305	356	7.2	25.4
gnl|TC-DB|F8SVK1|2.A.1.6.11	gene2612	30.000	60	39	1	157	213	64	123	8.3	25.4
gnl|TC-DB|O15375|2.A.1.13.11	gene1715	26.000	50	37	0	290	339	127	176	1.6	26.9
gnl|TC-DB|O15375|2.A.1.13.11	gene1491	34.211	38	25	0	56	93	101	138	3.3	26.2
gnl|TC-DB|O15375|2.A.1.13.11	gene1078	19.255	161	130	0	14	174	10	170	4.3	26.2
gnl|TC-DB|O15375|2.A.1.13.11	gene373	35.714	42	27	0	352	393	122	163	4.4	26.2
gnl|TC-DB|O15375|2.A.1.13.11	gene2317	42.105	38	16	1	128	165	78	109	6.0	25.4
gnl|TC-DB|O15375|2.A.1.13.11	gene1009	30.612	49	34	0	66	114	133	181	8.4	25.0
gnl|TC-DB|O15403|2.A.1.13.15	gene1271	23.664	131	96	3	279	407	280	408	0.010	34.7
gnl|TC-DB|O15403|2.A.1.13.15	gene802	29.231	65	42	1	214	274	220	284	0.62	28.9
gnl|TC-DB|O15403|2.A.1.13.15	gene396	43.750	32	18	0	92	123	317	348	3.2	26.6
gnl|TC-DB|O15403|2.A.1.13.15	gene1335	37.931	29	18	0	78	106	259	287	5.3	25.8
gnl|TC-DB|O15403|2.A.1.13.15	gene2673	36.735	49	30	1	456	503	579	627	5.4	26.2
gnl|TC-DB|O15403|2.A.1.13.15	gene928	29.412	34	24	0	478	511	97	130	7.1	25.8
gnl|TC-DB|P25613|2.A.96.1.4	gene173	37.500	48	29	1	58	104	139	186	2.0	26.2
gnl|TC-DB|P25613|2.A.96.1.4	gene2140	44.444	45	20	3	78	120	190	231	3.1	25.4
gnl|TC-DB|P25613|2.A.96.1.4	gene905	30.303	66	41	2	90	155	222	282	7.3	24.3
gnl|TC-DB|P25613|2.A.96.1.4	gene2716	46.154	39	16	2	42	80	368	401	9.4	24.3
gnl|TC-DB|P36021|2.A.1.13.10	gene1888	40.000	50	28	1	38	85	133	182	0.099	31.6
gnl|TC-DB|P36021|2.A.1.13.10	gene1963	28.049	82	56	2	158	236	308	389	0.22	30.4
gnl|TC-DB|P36021|2.A.1.13.10	gene948	47.500	40	19	1	41	78	24	63	0.37	29.3
gnl|TC-DB|P36021|2.A.1.13.10	gene1054	34.615	52	32	1	20	69	154	205	0.62	29.3
